pickID,ro,col,xcoord,ycoord,size,destination plate,destination row,destination column
1,A,1,0,0,1,1,1,A
2,B,1,0,0,1,1,1,B
3,C,1,0,0,1,1,1,C
4,D,1,0,0,1,1,1,D
5,E,1,0,0,1,1,1,E
6,F,1,0,0,1,1,1,F
7,G,1,0,0,1,1,1,G
8,H,1,0,0,1,1,1,H
9,A,2,0,0,1,1,2,A
10,B,2,0,0,1,1,2,B
11,C,2,0,0,1,1,2,C
12,D,2,0,0,1,1,2,D
13,E,2,0,0,1,1,2,E
14,F,2,0,0,1,1,2,F
15,G,2,0,0,1,1,2,G
16,H,2,0,0,1,1,2,H
17,A,3,0,0,1,1,3,A
18,B,3,0,0,1,1,3,B
19,C,3,0,0,1,1,3,C
20,D,3,0,0,1,1,3,D
21,E,3,0,0,1,1,3,E
22,F,3,0,0,1,1,3,F
23,G,3,0,0,1,1,3,G
24,H,3,0,0,1,1,3,H
25,A,4,0,0,1,1,4,A
26,B,4,0,0,1,1,4,B
27,C,4,0,0,1,1,4,C
28,D,4,0,0,1,1,4,D
29,E,4,0,0,1,1,4,E
30,F,4,0,0,1,1,4,F
31,G,4,0,0,1,1,4,G
32,H,4,0,0,1,1,4,H
33,A,5,0,0,1,1,5,A
34,B,5,0,0,1,1,5,B
35,C,5,0,0,1,1,5,C
36,D,5,0,0,1,1,5,D
37,E,5,0,0,1,1,5,E
38,F,5,0,0,1,1,5,F
39,G,5,0,0,1,1,5,G
40,H,5,0,0,1,1,5,H
41,A,6,0,0,1,1,6,A
42,B,6,0,0,1,1,6,B
43,C,6,0,0,1,1,6,C
44,D,6,0,0,1,1,6,D
45,E,6,0,0,1,1,6,E
46,F,6,0,0,1,1,6,F
47,G,6,0,0,1,1,6,G
48,H,6,0,0,1,1,6,H
49,A,7,0,0,1,1,7,A
50,B,7,0,0,1,1,7,B
51,C,7,0,0,1,1,7,C
52,D,7,0,0,1,1,7,D
53,E,7,0,0,1,1,7,E
54,F,7,0,0,1,1,7,F
55,G,7,0,0,1,1,7,G
56,H,7,0,0,1,1,7,H
57,A,8,0,0,1,1,8,A
58,B,8,0,0,1,1,8,B
59,C,8,0,0,1,1,8,C
60,D,8,0,0,1,1,8,D
61,E,8,0,0,1,1,8,E
62,F,8,0,0,1,1,8,F
63,G,8,0,0,1,1,8,G
64,H,8,0,0,1,1,8,H
65,A,9,0,0,1,1,9,A
66,B,9,0,0,1,1,9,B
67,C,9,0,0,1,1,9,C
68,D,9,0,0,1,1,9,D
69,E,9,0,0,1,1,9,E
70,F,9,0,0,1,1,9,F
71,G,9,0,0,1,1,9,G
72,H,9,0,0,1,1,9,H
73,A,10,0,0,1,1,10,A
74,B,10,0,0,1,1,10,B
75,C,10,0,0,1,1,10,C
76,D,10,0,0,1,1,10,D
77,E,10,0,0,1,1,10,E
78,F,10,0,0,1,1,10,F
79,G,10,0,0,1,1,10,G
80,H,10,0,0,1,1,10,H
81,A,11,0,0,1,1,11,A
82,B,11,0,0,1,1,11,B
83,C,11,0,0,1,1,11,C
84,D,11,0,0,1,1,11,D
85,E,11,0,0,1,1,11,E
86,F,11,0,0,1,1,11,F
87,G,11,0,0,1,1,11,G
88,H,11,0,0,1,1,11,H
89,A,12,0,0,1,1,12,A
90,B,12,0,0,1,1,12,B
91,C,12,0,0,1,1,12,C
92,D,12,0,0,1,1,12,D
93,E,12,0,0,1,1,12,E
94,F,12,0,0,1,1,12,F
95,G,12,0,0,1,1,12,G
96,H,12,0,0,1,1,12,H
